id,exam_year_roc,exam_session,exam_code,paper_code,question_no,subject_group_coarse,subject_group_keyword,anatomy_region,stem,option_A,option_B,option_C,option_D,option_E,answer,correct_answers,answer_credit_type,answer_note,needs_image_review,source_question_pdf,source_answer_pdf
MOEX-100140-1101-Q016,100,第二次,100140,1101,16,組織學,組織學,,下列何者位於儲精囊內側？,膀胱,直腸,前列腺,輸精管,,D,D,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q017,100,第二次,100140,1101,17,解剖學,胸腔,胸腔,橫膈（diaphragm）上相對於第十胸椎的裂口是下列何結構？,主動脈裂口（aortic hiatus）,食道裂口（esophageal hiatus）,腔靜脈裂口（caval opening）,奇靜脈裂口（azygal opening）,,B,B,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q018,100,第二次,100140,1101,18,解剖學,胸腔,胸腔,下列何者與右冠狀動脈的邊緣枝（marginal branch）併走？,心前靜脈（anterior cardiac vein）,心大靜脈（great cardiac vein）,心中靜脈（middle cardiac vein）,心小靜脈（small cardiac vein）,,D,D,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q019,100,第二次,100140,1101,19,未分類,,,下列何肌在呼吸時有穩固肋骨的作用？,腰大肌（psoas major）,腰小肌（psoas minor）,腰方肌（quadratus lumborum）,髂肌（iliacus）,,C,C,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q020,100,第二次,100140,1101,20,組織學,組織學,,下列有關顳下頜關節（temporomandibular joint）之敘述，何者錯誤？,翼內肌（medial pterygoid muscle）協助張口,翼內肌與翼外肌皆協助將下頜骨（mandible）移向對側邊（contralateral side）,部分翼外肌附著於顳下頜關節之關節盤（articular disc）,顳下頜關節位於下頜窩（mandibular fossa）及下頜骨之髁突（condylar process）之間,,A,A,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q021,100,第二次,100140,1101,21,解剖學,胸腔,胸腔,右肺門的肺動脈位在支氣管的：,上方,下方,前方,後方,,#,B|C,multiple_accepted,第21題答B或C或BC者均給分，,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q022,100,第二次,100140,1101,22,組織學,組織學,,鼻樑（bridge of nose）上皮膚之感覺由下列何神經傳導？,眼神經（ophthalmic nerve）,上頜神經（maxillary nerve）,面神經（facial nerve）,視神經（optic nerve）,,A,A,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q023,100,第二次,100140,1101,23,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,下列關於面部危險三角區域（danger triangle of the face）之面靜脈（facial vein）敘述何者錯誤？,面靜脈與翼突靜脈叢（pterygoid venous plexus）可相交通,面靜脈有良好的瓣膜系統可阻止血液回流,面靜脈發炎可能引發海綿竇血栓靜脈炎（thrombophlebitis of cavernous sinus）,危險三角區域的感染或發炎可沿著面靜脈蔓延到大腦靜脈系統,,B,B,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q024,100,第二次,100140,1101,24,解剖學,胸腔,胸腔,下列關於胸腔穿刺（thoracentesis）敘述何者錯誤？,"需避開肋骨下緣之肋間神經、血管（intercostal nerve, vessel）",穿刺時需在吐氣（expiration）時進行,一般在第九肋間穿刺最適當,常在鎖骨中線（midclavicular line）位置進行穿刺,,D,D,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q025,100,第二次,100140,1101,25,解剖學,神經解剖,神經解剖,若病人出現縮瞳（miosis），一側面部出汗減少（anhydrosis），上眼瞼下垂（ptosis）等 Horner 徵候 群，其三種典型臨床症狀皆出現時，最不可能為下列何種疾病所引發？,頸總動脈剝離（common carotid artery dissection）,頸外動脈（external carotid artery）損傷,腦幹栓塞性中風（brainstem infarction）,頸上神經節（superior cervical ganglion）損傷,,B,B,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q026,100,第二次,100140,1101,26,組織學,組織學,,下列何者並非脈絡叢（choroid plexus）的結構形成物？,平滑肌肉層（smooth muscle layer）,基底膜層（basement membrane）,腦室管膜細胞層（ependymal cells of ventricle）,微血管內皮細胞層（endothelium of capillary）,,A,A,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q027,100,第二次,100140,1101,27,組織學,組織學,,下列有關脊髓後外側溝（posterolateral sulcus）的敘述，何者正確？,僅存在於上胸段（upper thoracic level）以上,為後根神經纖維（posterior root fibers）進入脊髓處,將後側脊髓（dorsal spinal cord）分成左、右兩半,為脊髓後角（posterior horn）與前角（anterior horn）分界處,,B,B,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q028,100,第二次,100140,1101,28,解剖學,下肢,下肢,下列何者參與下肢本體覺的傳遞？,外側頸核（lateral cervical nucleus）,薄核（gracile nucleus）,楔狀核（cuneate nucleus）,弓狀核（arcuate nucleus）,,B,B,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q029,100,第二次,100140,1101,29,胚胎學,胚胎學,,下列肺發育期間，呼吸細支氣管（respiratory bronchiole）何時出現？,偽腺期（Pseudoglandular stage）,小管期（Canalicular stage）,末囊期（Terminal sac stage）,肺泡期（Alveolar stage）,,#,B|C|D,multiple_accepted,第29題答B或C或D或BC或BD或CD或BCD者 均給分，,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q030,100,第二次,100140,1101,30,胚胎學,胚胎學,,下列由遺傳因素造成的畸形中，何者是因染色體數目的異常所致？,亨丁頓氏舞蹈症（Huntington chorea）,軟骨發育不全（achondroplasia）,克萊恩費爾特氏徵候群（Klinefelter syndrome）,血友病（hemophilia）,,C,C,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q031,100,第二次,100140,1101,31,胚胎學,胚胎學,,誘發胚胎先天畸形的敏感時期是在受精後：,第 1-2 週,第 3-8 週,第 9-12 週,第 13-16 週,,B,B,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q032,100,第二次,100140,1101,32,胚胎學,胚胎學,,在脊柱形成時，胚胎初期出現的脊索（notochord）最後的發育結果是：,骨化並成為椎骨的一部分,轉變為滑液關節（synovial joint）,構成軟骨關節,退化並侷限在椎間盤內,,D,D,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q033,100,第二次,100140,1101,33,組織學,組織學,,具有緊密接合（tight junction）並形成血－睪障壁（blood-testis barrier）的細胞是：,萊迪氏細胞（Leydig cell）,塞托利氏細胞（Sertoli cell）,管周邊細胞（peritubular cell）,產精細胞（spermatogenic cell）,,B,B,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q034,100,第二次,100140,1101,34,組織學,組織學,,下列何者不具有過渡型上皮細胞（transitional epithelium）？,輸尿管（ureter）,膀胱（urinary bladder）,前列腺段尿道（prostatic urethra）,陰莖段尿道（penile urethra）,,D,D,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q035,100,第二次,100140,1101,35,組織學,組織學,,有關眼球之角膜（cornea），下列敘述何項錯誤？,角膜不具有神經末梢（nerve ending）,角膜的所有代謝交換（metabolic exchange）主要發生於角膜內皮（corneal endothelium）,角膜包括五層結構，其中 Descemet’s membrane 與 Bowman’s membrane 屬於非細胞層,角膜上皮（corneal epithelium）細胞具有很高之再生能力（regenerative capacity）,,A,A,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q036,100,第二次,100140,1101,36,組織學,組織學,,腎素（renin）主要由下列那一細胞產生與釋放？,緻密斑細胞（macula densa cells）,絲球體外環間細胞（extraglomerular mesangial cells）,足細胞（podocytes）,絲球體旁細胞（juxtaglomerular cells）,,D,D,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q037,100,第二次,100140,1101,37,組織學,組織學,,下列各消化管道當中，何者之上皮含最多杯狀細胞？,胃,結腸,食道,十二指腸,,B,B,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q038,100,第二次,100140,1101,38,組織學,組織學,,下列有關破骨細胞（osteoclasts）的敘述何者正確？,是多核細胞,位於骨膜內（periosteum）,分泌骨基質,細胞質為強嗜鹼性,,A,A,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q039,100,第二次,100140,1101,39,組織學,組織學,,對中型靜脈的敘述，下列何者錯誤？,其瓣膜為半月狀,瓣膜由平滑肌構成,瓣膜主要由結締組織形成軸心，外覆蓋內皮細胞,腿部的中型靜脈常具瓣膜,,B,B,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q040,100,第二次,100140,1101,40,組織學,組織學,,黏著小帶（zonula adherens）的細胞膜內側，有何種主要細胞骨架附著？,微絲（microfilaments）,中間絲（intermediate filaments）,微小管（microtubule）,膠原纖維（collagen fibers）,,A,A,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q041,100,第二次,100140,1101,41,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,林先生 32 歲，剛剛在國內完成博士學位，因為他是念地質學，所以需要到處採集地質標本。兩個月前 他有機會到美國加州接近墨西哥邊界沙漠地區整整一個月時間在該地區進行調查，甚至包括一些洞 穴。回國以後林先生開始發燒、畏寒、夜間盜汗、乾咳，持續 4 個星期，這段期間林先生開始以為是 感冒，醫師也開過抗生素治療，但病情持續無法改善。全身檢查結果除了右胸有約 3 cm 較硬腫塊外， 在鼠蹊及腋下也有較小約 1 cm 淋巴腫，血液樣本在 25℃培養，找到具有分節孢子（Arthrospores） 之絲狀真菌，分節孢子斷裂呈現桶狀（Barrel-shaped）。組織學則呈現寄生性 spherules，內含內孢 子（endospores）。林先生最可能感染那一種病原菌？,Histoplasma capsulatum,Blastomyces dermatitidis,Paracoccidioides brasiliensis,Coccidioides immitis,,D,D,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q042,100,第二次,100140,1101,42,組織學,組織學,,有關神經元細胞體的位置，下列敘述何者正確？①灰質 ②白質 ③神經節 ④周邊神經纖維,①④,①③,②③,②④,,B,B,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q043,100,第二次,100140,1101,43,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,Amphotericin B 屬於一種 Polyenes 抗真菌藥物，直接與麥角固醇（Ergosterol）結合破壞真菌細胞膜， 但在治療新型隱球菌已出現抗藥性，抗藥菌株最可能改變產生何種固醇，取代敏感性的麥角固醇？,Cholesterol,Sitosterol,Lanosterol,Fecosterol,,D,D,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q044,100,第二次,100140,1101,44,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,王醫師為婦科疾病的權威醫師，他的門診病患中感染何型人類乳突病毒（HPV），會導致罹患子宮 頸癌風險大幅提高？,Type 9,Type 6,Type 18,Type 11,,C,C,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q045,100,第二次,100140,1101,45,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,器官移植後的病人出現肺炎併發症，應首先懷疑下列何種病毒感染是導致肺炎併發症的原因？,單純疹病毒（herpes simplex virus）,EB 病毒（Epstein-Barr virus）,腺病毒（adenovirus）,巨細胞病毒（cytomegalovirus）,,D,D,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q046,100,第二次,100140,1101,46,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,下列有關呼吸道細胞融合病毒（Respiratory syncytial virus）之敘述，何者正確？,屬於正黏液病毒（Orthomyxovirus）,侵入呼吸道後會引起支氣管上皮細胞壞死、黏液分泌、發炎細胞浸潤、黏膜下層水腫,感染後可終身免疫,核酸為正股 RNA,,B,B,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q047,100,第二次,100140,1101,47,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,在 B 型肝炎病毒造成急性感染之患者身上，下列何種抗體最早出現？,Anti-HBc,Anti-PreS,Anti-HBs,Anti-HBe,,A,A,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q048,100,第二次,100140,1101,48,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,下列那一種症狀不是由克沙奇 A 型病毒（Coxsackie A virus）所引起的？,疹性咽峽炎（herpangina）,心臟炎（carditis）,胸膜痛（pleurodynia）,腦膜炎（meningitis）,,#,A|B|C|D,all_credit,第48題一律給分，,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q049,100,第二次,100140,1101,49,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,Amantadine 及 Rimantadine 藥物常被用來治療流行性感冒病毒 A 型，其抑制病毒入侵之機轉為何？,阻止病毒之入侵及解體（uncoating）,阻止病毒在宿主內合成 DNA,阻止病毒在宿主內合成 RNA,阻止病毒在宿主內合成蛋白質,,A,A,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q050,100,第二次,100140,1101,50,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,下列何者是常見於發生在後期愛滋病患者，尤其是該患者CD4+的T lymphocyte數目少於 10 cells/mm3 時的分枝桿菌（Mycobacterium）感染？,M. leprae,M. avium complex,M. bovis,M. kansasii,,B,B,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q051,100,第二次,100140,1101,51,解剖學,骨盆與會陰,骨盆與會陰,一位男性因其陰莖出現潰瘍而就醫，經醫師診察後發現其潰瘍處界限分明，表面呈肉紅色糜爛，觸 摸時可感覺皮下似埋有一鈕扣，是為硬性下疳的症狀，且患者無壓痛感，但壓時有清澈之滲出液溢 出，經 VDRL 試驗呈陽性反應，表示該病人可能患有何種疾病？,梅毒（syphilis）,疹（herpes）,淋病（gonorrhea）,生殖器濕疣（anogenital warts）,,A,A,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q052,100,第二次,100140,1101,52,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,下列真菌疾病中，那些是兩型性真菌（Dimorphic fungi）？,Aspergillus niger and Rhizopus stolonifer,Candida albicans and Rhizopus stolonifer,Sporothrix schenckii and Candida albicans,Sporothrix schenckii and Penicillium marneffei,,#,C|D,multiple_accepted,第52題答C或D或CD者均給分，,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q053,100,第二次,100140,1101,53,組織學,組織學,,一位 70 歲的老婦人在整理自家花園時不慎被埋在土裡樹枝上的細刺扎到，當時不以為意，但一週後 出現說話、吞嚥、呼吸困難等情形，且有胸痛，兩天後並發生頸部僵硬和呼吸衰竭，急送某醫學中 心，醫師立即將她送入加護病房進行氣管切開並接上人工呼吸器。病人被診斷為破傷風（tetanus）， 下列何者是診斷此病最主要的依據？,臨床症狀,由血液中分離出破傷風菌,在血液中偵測到破傷風毒素,在由傷口取得的檢體中以顯微鏡觀察到破傷風菌,,A,A,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q054,100,第二次,100140,1101,54,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,承上題，下列何者不宜用來處理破傷風病人？,給予破傷風抗毒素,擴創術（debridement）,給予青黴素（penicillin）,給予破傷風疫苗,,C,C,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q055,100,第二次,100140,1101,55,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,黴漿菌（Mycoplasma）與 L form 細菌同樣都缺乏細胞壁結構，其二者最大的差異為何？,黴漿菌細胞膜上含有固醇，而 L form 細菌則無,L form 細菌細胞膜上含有固醇，而黴漿菌則無,在適當的生長條件下，黴漿菌可形成細胞壁結構，而 L form 細菌則否,黴漿菌對 β-lactam 類藥物敏感，而 L form 細菌則有抗性,,A,A,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q056,100,第二次,100140,1101,56,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,有一些細菌對 trimethoprim 產生抗性，其主要原因為何？,此菌株的核糖體與 trimethoprim 的結合力降低,此菌株的 dihydrofolate reductase 與 trimethoprim 的結合力降低,Trimethoprim 與此類菌之 rRNA 的結合力下降,Trimethoprim 與此類菌之 transpeptidase 的結合力下降,,B,B,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q057,100,第二次,100140,1101,57,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,腸內菌屬（Enterobacteriaceae）的 Lipopolysaccharide（LPS）分子中那一個部分的變異最大，可以用 來區別同一種（species）菌種不同的血清型分類（serotype）？,Lipid A,Core polysaccharide,O antigen,整體結構,,C,C,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q058,100,第二次,100140,1101,58,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,下列那種細菌以家禽、家畜為其貯存宿主（reservoir）？,空腸彎曲菌（Campylobacter jejuni）,霍亂弧菌（Vibrio cholerae）,百日咳桿菌（Bordetella pertussis）,腦膜炎奈瑟氏菌（Neisseria meningitidis）,,A,A,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q059,100,第二次,100140,1101,59,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,不產芽孢厭氧菌（non-sporeforming anaerobes）感染人體，最常造成下列那種形式的病變？,食物中毒（food poisoning）,溶血性貧血（hemolytic anemia）,組織壞死和膿瘍（abscess）,自體免疫病（autoimmune diseases）,,C,C,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q060,100,第二次,100140,1101,60,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,艱難梭菌（Clostridium difficile）感染所造成的疾病之確診係根據下列那一項？,由病人糞便中分離到此菌,在病人糞便中偵測到此菌所分泌的細胞毒素或腸毒素,由病人血液中分離到此菌,在病人血清中偵測到此菌所分泌的細胞毒素或腸毒素,,B,B,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q061,100,第二次,100140,1101,61,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,有關細菌 DNA 複製的敘述，那一項錯誤？,可從不特定的 DNA 序列開始,可從多個起始點開始,有不同的機轉並可雙向進行,是由多種 DNA polymerases 來負責,,A,A,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q062,100,第二次,100140,1101,62,公共衛生學,公共衛生,,葉教授的實驗室進行結核菌研究，所以實驗室的學生都需進行結核菌素測驗。一位暑期研究同學在 測驗後 50 小時產生陽性反應。如果對這位同學進行皮膚切片觀察其中的反應，最可能會看到的結果 為何？,皮膚水腫，無白血球聚集,T 細胞及巨噬細胞聚集,B 細胞及漿細胞聚集,嗜伊紅性白血球及肥大細胞聚集,,B,B,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q063,100,第二次,100140,1101,63,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,化膿性鏈球菌（Streptococcus pyogenes）感染之後，有時會引起關節炎、心肌炎、心臟瓣膜破壞，其 原因為何？,由於化膿性鏈球菌抗原與上述的組織抗原有分子類似性（molecular mimicry），而導致自體免疫反應,治療化膿性鏈球菌感染所用的抗生素引起的藥物危害,化膿性鏈球菌感染後，引起 FoxP3 基因活化，調節型 T 細胞（Treg 細胞）增加所致,化膿性鏈球菌過度增長，直接破壞組織所致,,A,A,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q064,100,第二次,100140,1101,64,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,在評估病患的免疫能力時，發現病患的免疫球蛋白濃度只有同年齡人平均值的五分之一。為了瞭解 病患血液白血球中 B 細胞的百分比是否正常，應該採用何種方法來檢查？,將羊紅血球與病患紅血球混和後檢查血球凝集,用帶螢光的抗人類免疫球蛋白抗體處理病患白血球後以流式細胞儀偵測,將白血球以抗 CD3 刺激後觀察細胞分裂,用 Epstein-Barr 病毒刺激白血球後觀察細胞分裂,,B,B,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q065,100,第二次,100140,1101,65,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,為了預防流行性感冒病毒感染，建議老人及兒童每年施打流感疫苗。需要每年施打的正確理由為何？,疫苗依據前一年流行的病毒株設計，無法涵蓋新出現的突變病毒,疫苗為單一病毒株，無法涵蓋引起感染的病毒,疫苗無多醣成分，引起長期免疫記憶的能力差,疫苗為活病毒，在身上存活的時間短,,A,A,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q066,100,第二次,100140,1101,66,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,關於過敏病患抽血進行特異性過敏原測試，下列敘述何者正確？,目的是測試血液中的吞噬細胞數目是否正常,目的是測試血液中的嗜伊紅性白血球細胞數目是否正常,測試方法是定量白血球對過敏原刺激的分裂反應,測試方法為偵測對特定抗原的抗體是否存在,,D,D,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q067,100,第二次,100140,1101,67,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,相較於引發產生抗體的初次反應（primary response） ，同一個蛋白質抗原所引起的二次反應（secondary response）的特性為何？,通常需要較長的時間才能開始有大量的抗體生成,有記憶性淋巴細胞的參與,主要是製造並分泌大量 IgM,所產生的抗體力價（titer）與初次反應相當,,B,B,standard,,False,100140_1101.pdf,100140_MOD1101.pdf
MOEX-100140-1101-Q068,100,第二次,100140,1101,68,微生物免疫學/寄生蟲學,微生物免疫/寄生蟲,,下列那一種細胞表面通常不會表現免疫球蛋白 IgE 受器？,活化的嗜鹼性球（basophil）,活化的嗜酸性球（eosinophil）,活化的巨噬細胞（macrophage）,肥大細胞（mast cell）,,#,A|B|C|D,all_credit,第68題一律給 分，,False,100140_1101.pdf,100140_MOD1101.pdf
